source_id,title_pattern,expected_year,source_pdf_filename,source_pdf_sha256,source_document_status,access_conditions,licence,territorial_definition,notes
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1970,ine_external_trade_1970_volume_i.pdf;ine_external_trade_1970_volume_ii.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454;168f1d0dbe0de4bcac8c721ab99a6d8450d3fa22336f43cbfaabce2933d56cc8,available,official INE public PDF downloads preserved locally; reuse terms require source attribution and licence review before redistribution,to_be_confirmed_from_source,Continente e Ilhas Adjacentes (catalogue title; verify against source tables),INE catalogue record: https://www.ine.pt/xurl/pub/260534859; issue year 1971; two-volume scan downloaded from official attachment endpoints on 2026-08-07. Page discovery: methodology Volume I PDF page 8; territorial list Volume I PDF page 18; world imports Volume I PDF page 24; world exports Volume I PDF page 24; overseas imports Volume I PDF page 25; overseas exports Volume I PDF page 25; EEC/EFTA Volume I PDF page 25.
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1971,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1972,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1973,ine_external_trade_1973_volume_i.pdf;ine_external_trade_1973_volume_ii.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f;b91e5dae8e39cf72479aab60521833d612cb071a610b6c8f18e830b22c712454,available,official INE public PDF downloads preserved locally; reuse terms require source attribution and licence review before redistribution,to_be_confirmed_from_source,Continente e Ilhas Adjacentes (catalogue title; verify against source tables),INE catalogue record: https://www.ine.pt/xurl/pub/260533469; issue year 1974; two-volume scan downloaded from official attachment endpoints on 2026-08-07. Page discovery: methodology Volume I PDF page 9; territorial list Volume I PDF page 17; world imports Volume I PDF page 23; world exports Volume I PDF page 23; overseas imports Volume I PDF page 24; overseas exports Volume I PDF page 24; EEC/EFTA Volume I PDF page 24.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1960,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1961,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1962,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1963,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1964,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1965,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1966,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1967,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1968,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1969,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1970,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1971,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1972,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1973,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1960,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1961,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1962,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1963,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1964,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1965,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1966,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1967,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1968,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1969,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1970,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1971,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1972,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1973,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
oecd_portugal_survey,OECD Economic Survey Portugal,1974,,,missing_source_pdf,open_document_expected,to_be_confirmed_from_source,to_be_transcribed_from_source,Register local PDF before transcription.
