year,flow_code,classification_scheme,partner_group,trade_value_usd,world_value_usd,world_share,value_method,source_quality
1965,M,colonial_world_share_preliminary,colonies,126958500.0,923515840.0,0.1374730075014198,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1965,M,colonial_world_share_preliminary,true_rest_of_world,796557340.0,923515840.0,0.8625269924985802,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1965,X,colonial_world_share_preliminary,colonies,143866044.0,576399168.0,0.2495944685333064,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1965,X,colonial_world_share_preliminary,true_rest_of_world,432533124.0,576399168.0,0.7504055314666935,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1966,M,colonial_world_share_preliminary,colonies,137102531.0,1022796800.0,0.13404669529666108,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1966,M,colonial_world_share_preliminary,true_rest_of_world,885694269.0,1022796800.0,0.865953304703339,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1966,X,colonial_world_share_preliminary,colonies,145838524.0,619503488.0,0.2354119497709753,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1966,X,colonial_world_share_preliminary,true_rest_of_world,473664964.0,619503488.0,0.7645880502290247,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1967,M,colonial_world_share_preliminary,colonies,151344788.0,1059153920.0,0.14289215678869413,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1967,M,colonial_world_share_preliminary,true_rest_of_world,907809132.0,1059153920.0,0.8571078432113058,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1967,X,colonial_world_share_preliminary,colonies,170851590.0,701361664.0,0.24359984123683157,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1967,X,colonial_world_share_preliminary,true_rest_of_world,530510074.0,701361664.0,0.7564001587631685,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1968,M,colonial_world_share_preliminary,colonies,185909288.0,1178384896.0,0.15776618372406565,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1968,M,colonial_world_share_preliminary,true_rest_of_world,992475608.0,1178384896.0,0.8422338162759343,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1968,X,colonial_world_share_preliminary,colonies,189667610.0,761222784.0,0.24916176182135924,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1968,X,colonial_world_share_preliminary,true_rest_of_world,571555174.0,761222784.0,0.7508382381786407,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1969,M,colonial_world_share_preliminary,colonies,194974368.0,1297515392.0,0.15026747983271707,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1969,M,colonial_world_share_preliminary,true_rest_of_world,1102541024.0,1297515392.0,0.849732520167283,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1969,X,colonial_world_share_preliminary,colonies,211356325.0,852978752.0,0.24778615470130727,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1969,X,colonial_world_share_preliminary,true_rest_of_world,641622427.0,852978752.0,0.7522138452986927,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1970,M,colonial_world_share_preliminary,colonies,233667075.0,1589826688.0,0.1469764451456988,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1970,M,colonial_world_share_preliminary,true_rest_of_world,1356159613.0,1589826688.0,0.8530235548543011,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1970,X,colonial_world_share_preliminary,colonies,232458821.0,949225152.0,0.2448932379322372,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1970,X,colonial_world_share_preliminary,true_rest_of_world,716766331.0,949225152.0,0.7551067620677628,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1971,M,colonial_world_share_preliminary,colonies,241496013.0,1823831680.0,0.13241134894641154,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1971,M,colonial_world_share_preliminary,true_rest_of_world,1582335667.0,1823831680.0,0.8675886510535884,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1971,X,colonial_world_share_preliminary,colonies,225446933.0,1052598592.0,0.2141812982778529,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1971,X,colonial_world_share_preliminary,true_rest_of_world,827151659.0,1052598592.0,0.7858187017221471,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1972,M,colonial_world_share_preliminary,colonies,258759843.0,2227166208.0,0.11618344516477147,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1972,M,colonial_world_share_preliminary,true_rest_of_world,1968406365.0,2227166208.0,0.8838165548352286,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1972,X,colonial_world_share_preliminary,colonies,189372669.0,1293765376.0,0.14637327023350485,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1972,X,colonial_world_share_preliminary,true_rest_of_world,1104392707.0,1293765376.0,0.8536267297664951,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1973,M,colonial_world_share_preliminary,colonies,309642994.0,3072798464.0,0.1007690538861191,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1973,M,colonial_world_share_preliminary,true_rest_of_world,2763155470.0,3072798464.0,0.8992309461138809,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
1973,X,colonial_world_share_preliminary,colonies,276364569.0,1861681536.0,0.1484488961489061,selected_partner_sum,preliminary_from_comtrade_coverage_snapshot
1973,X,colonial_world_share_preliminary,true_rest_of_world,1585316967.0,1861681536.0,0.8515511038510939,world_total_minus_selected_groups,preliminary_from_comtrade_coverage_snapshot
